Course Number/Title,Instructor,Days,Beg Time,End Time,Bldg Room,Credits
ECO  375  01W Econometrics,R Eichhorn,TR,9:30 AM,10:50 AM,Stuart Hall,1
ECO  395  01 History of Economic Thought,D Westberg,,12:00 AM,12:00 AM,Arranged,1
ECO  436  01 Economic Development,D Westberg,TR,12:30 PM,1:50 PM,Stuart Hall,1
ECO  444  01 Ind Study-Economics,D Westberg,,12:00 AM,12:00 AM,Arranged,1
ECO  457  01 US Econ History,R Baranowski,TR,11:00 AM,12:20 PM,Peterson Hall,1
Course Number/Title,Instructor,Days,Beg Time,End Time,Bldg Room,Credits
Education,,,,,,
EDU  105  01W Educational Foundations,S Haynes-Moore,MWF,10:00 AM,10:50 AM,Stuart Hall,1
EDU  105  02W Educational Foundations,N Hayes,MWF,2:00 PM,2:50 PM,Stuart Hall,1
EDU  117  01 Exceptional Learners,A Russell,MWF,1:00 PM,1:50 PM,Stuart Hall,1
EDU  117  02 Exceptional Learners,J Hanson,MW,6:00 PM,7:20 PM,Hickok Hall,1
EDU  187  01W Human Relations,B Christoffersen,TR,2:00 PM,3:20 PM,Stuart Hall,1
EDU  187  02W Human Relations,S Haynes-Moore,MWF,11:00 AM,11:50 AM,Stuart Hall,1
EDU  195  01 Educ Psychology & Development,C Johnson,MWF,8:00 AM,8:50 AM,Hickok Hall,1
EDU  215  01W Practicum in Education,S Kress,MW,2:00 PM,3:20 PM,Stuart Hall,1
To register: Please see B. Kigin SH 09A,,,,,,
EDU  219  01 Educational Technology Lab,L Wiebenga,T,2:00 PM,3:20 PM,Stuart Hall,0
To register: Please see B. Kigin SH 09A,,,,,,
EDU  220  01W Professional Writing for Teachers,N Hayes,MWF,1:00 PM,1:50 PM,Stuart Hall,1
EDU  260  01W Content Reading,N Hayes,MWF,9:00 AM,9:50 AM,Stuart Hall,1
EDU  270  01W Literature K-12,N Hayes,MWF,11:00 AM,11:50 AM,Stuart Hall,1
EDU  275  01 Math Comprehension for Teaching,M Hanson,TR,11:00 AM,12:20 PM,Athletics and Recrea,
EDU  284  01 Topics: Mindfulness and Learning,N Hayes,M,6:00 PM,7:20 PM,Stuart Hall,0.5
EDU  300  01 Expressive Methods,S Kress,TR,6:00 PM,7:20 PM,Stuart Hall,0.5
EDU  305  01W Methods of Elementary Science,S Kress,TR,2:00 PM,3:20 PM,Stuart Hall,1
,S Kress,M,4:00 PM,6:00 PM,Stuart Hall,1
EDU  310  01W Meth Secondary Business Educ,K Hynek,W,6:00 PM,8:00 PM,Stuart Hall,1
To register: Please see B. Kigin SH 09A,,,,,,
EDU  311  01W Meth Secondary Language Arts,S Haynes-Moore,T,6:00 PM,8:00 PM,Stuart Hall,1
To register: Please see Betsy Kigin,,,,,,
EDU  312  01W Meth Secondary Social Studies,S Neilly,W,6:00 PM,8:00 PM,Stuart Hall,1
To register: Please see B. Kigin SH 09A,,,,,,
EDU  313  01W Methods Secondary Mathematics,M Hanson,W,6:00 PM,8:00 PM,Stuart Hall,1
To register: Please see B. Kigin SH 09A,,,,,,
EDU  320  01W Methods of Secondary Science,Staff,W,6:00 PM,8:00 PM,Stuart Hall,1
To register: Please see B. Kigin SH 09A,,,,,,
EDU  321  01W Meth World Language Instr K-12,N Hayes,R,6:00 PM,8:00 PM,Stuart Hall,1
To register: Please see B. Kigin SH 09A,,,,,,
EDU  365  01W Methods of Elementary Social Studie,A Russell,TR,8:00 AM,9:20 AM,Stuart Hall,1
,A Russell,M,4:00 PM,6:00 PM,Stuart Hall,1
EDU  481  01W Stu Tchg Sec: ART,A Russell,W,4:00 PM,5:00 PM,Stuart Hall,2
EDU  482  01W Stu Tchg Sec: Phys Education,A Russell,W,4:00 PM,5:00 PM,Stuart Hall,2
EDU  483  01W Std Teaching Elem: ART,A Russell,W,5:00 PM,6:00 PM,Stuart Hall,2
EDU  485  01W Std Teaching Elem: Phys Ed,A Russell,W,5:00 PM,6:00 PM,Stuart Hall,2
EDU  489  01W Student Teaching Sr HS,A Russell,W,4:00 PM,5:00 PM,Stuart Hall,2
EDU  490  01W Student Teaching Jr HS,A Russell,W,5:00 PM,6:00 PM,Stuart Hall,2
EDU  491  01W Student Teaching 4-6,A Russell,W,4:00 PM,5:00 PM,Stuart Hall,2
EDU  492  01W Student Teaching K-3,A Russell,W,5:00 PM,6:00 PM,Stuart Hall,2
English,,,,,,
ENG  101  01W IntroLitStudies: Art of Rdg & Wrtg,G Hausknecht,MWF,1:00 PM,1:50 PM,Hickok Hall,1
ENG  107  01 Exploring Literature:US Pluralism,P Valderrama,TR,12:30 PM,1:50 PM,Hickok Hall,1
ENG  137  01W African American Literature,L McQueen,TR,9:30 AM,10:50 AM,Hickok Hall,1
ENG  291  01W Literatures in English after 1800,L Hayes,TR,11:00 AM,12:20 PM,Hickok Hall,1
ENG  301  01W The Art of Literary Research,G Hausknecht,TR,2:00 PM,3:20 PM,Hickok Hall,1
ENG  337  01W American Realism & Naturalism,A Shaw,MW,3:30 PM,4:50 PM,Hickok Hall,1
ENG  454  01 Honors Research,A Shaw,,12:00 AM,12:00 AM,Arranged,1
ENG  467  01W Seminar inLit:USPluralism,P Valderrama,T,3:30 PM,5:50 PM,Hickok Hall,1
English as a Second Lang,,,,,,
ESL  105  01 Reading/Writing Studies/ Lab I,K Welsh,TR,9:30 AM,10:50 AM,Struve Comm Ctr,0
ESL  115  01 Stuctr & Oral Present I,K Keegan,MWF,10:00 AM,10:50 AM,Struve Comm Ctr,0
Course Number/Title,Instructor,Days,Beg Time,End Time,Bldg Room,Credits
English as a Second Lang,,,,,,
ESL  125  02 Pronounciation,K Welsh,MWF,2:00 PM,2:50 PM,Struve Comm Ctr,0
ESL  235  01 Topics in Speaking & ListeningTOEIC,A Drexler,TR,12:30 PM,1:50 PM,Struve Comm Ctr,0
ESL  235  02 Top Speak & Listen:American Culture,K Keegan,MWF,11:00 AM,11:50 AM,Struve Comm Ctr,0
ESL  444  01 Independent Study,A Drexler,,12:00 AM,12:00 AM,Arranged,0
For nonnative English Speakers only.,,,,,,
Film Studies,,,,,,
FLM  105  01 Introduction to Film,K Lausch,TR,9:30 AM,10:50 AM,Hickok Hall,1
FLM  105  02 Introduction to Film,K Lausch,MW,3:00 PM,4:20 PM,Stewart Mem Lib,1
FLM  105L 01 Introduction to Film Lab,K Lausch,,12:00 AM,12:00 AM,Arranged,0
FLM  105L 02 Introduction to Film Lab,K Lausch,,12:00 AM,12:00 AM,Arranged,0
FLM  225  01W Film History,K Lausch,TR,12:30 PM,1:50 PM,Hickok Hall,1
FLM  225L 00 Film History Lab,K Lausch,,12:00 AM,12:00 AM,Arranged,0
FLM  250  01W Film Topics:The Vietnam War in Film,D Buckaloo,TR,2:00 PM,3:20 PM,Hickok Hall,1
FLM  464  01 Seminar in Film I:,K Lausch,,12:00 AM,12:00 AM,Arranged,A0.50
FLM  494  01 Internship in Film,G Hausknecht,,12:00 AM,12:00 AM,Arranged,1
French,,,,,,
FRE  115  01 Elementary French I,J Janca-Aji,MWF,9:00 AM,9:50 AM,Hickok Hall,1
FRE  235  01 Intermediate French,J Janca-Aji,MWF,10:00 AM,10:50 AM,Hickok Hall,1
FRE  345  01 History of Fr: Language & Culture,J Janca-Aji,MWF,2:00 PM,2:50 PM,Hickok Hall,1
FRE  444  01 Ind Study-French,J Janca-Aji,,12:00 AM,12:00 AM,Arranged,1
First Year Seminar,,,,,,
FS110  01W FYS:BelongingorBeinganOutcast,L Rodriguez Moreno,MWRF,11:00 AM,11:50 AM,Hickok Hall,1
FS110  02W FYS:  History of Sport in the US,L Atwater,MWRF,11:00 AM,11:50 AM,Eby Fieldhouse,1
FS110  03W FYS: Black Lives Matter,A Kelley,MWRF,11:00 AM,11:50 AM,Hickok Hall,1
FS110  04W FYS:CallingBullshitData-DrivenWorld,B Miller,MWRF,11:00 AM,11:50 AM,Stuart Hall,1
